                                    repo,                                   commit, notebooks, language, version
musicidatascirun/statistical_fundamentals, 8b30613ab5b26c193931b6145bc363d0199e1a6b,         1,    python,   3.5.2
                   stephencge/ISL-python, 68d1bf9a495f40051000fb43512d7a0fec0cd27f,         3,    python,  2.7.12
                   arunsug/DataWrangling, 64a98648510cbc52b33791bc3e4b3df02206c189,         1,    python,   3.6.0
                         glorysdj/dsStar, 876606525ca448da0fd731ff5b26b9c474377720,         1,    python,   2.7.6
               spookiestevie/python-math, 1109034a138239c9ffa5e6061f6380c0ebd713f7,         2,    python,  2.7.12
        jianmyphy123/crime_data_analysis, 81f74863952e5381a0a766ddd3295e61a30ea52b,         1,    python,   3.6.0
                   akhileshh/lfd-caltech, bace0a01f8d7686acf28d145ad99e017201e07dd,         2,    python,   3.6.2
                  hexiyang/BSDS_2017fall, faf8a8bd882108b3388961a3b6f117d064cd6bf5,         1,    python,  2.7.13
Byte7/Solar-Flares-Prediction-RHESSI-Mission, 7c42105796b9c0a58d3bd439c8a9e8ead1455d59,         2,    python,   3.6.2
                tomyc/jupyter_clustering, 5e6e364b5f18aa8b12d00838d89c91421af92c57,         1,    python,   3.5.2
 jaspindersingh83/seaborn_visualizations, d654b53c25fc637acbc84b94fb86bb5193f3f15f,         1,    python,   3.6.0
                     ntirupathirao18/SVM, 83d8519545c5ee3775b56aeb5fdf8009671e3414,         2,    python,   3.6.3
    sw20066/Dataquest---Winning-Jeopardy, c9e0bd068117377ed0ee2a7c4d27f6ec636d22f0,         1,    python,   3.4.3
jaybeeunix/uis-csc570r-week3-titanic_eda_lab, dbb177a7eb4e93a9d363038a1d958d4fd76ef9d4,         1,    python,   3.6.2
             Nandrajog93/Beautiful-Soup-, e5e26cac29372f8900da7aa520ef3306490b1d73,         1,    python,   3.6.2
    sebastienharinck/matplotlib-examples, d7565f7af04d2afd0267620787397ce7027e404b,         1,    python,   3.5.2
FE588-2017-Fall-Bogazici/hello-world-gokhanozel, c61649ac2618a569264e72bee9f881b71cec91d2,         2,    python,   3.6.1
            napsternxg/AuthorGeomovement, 8e858d4deabf2a3731d54567b37dc8a066a0f10e,         1,    python,  2.7.12
            hemanthezio/Machine_Learning, bb26bbb5b0eaf86377512bfa37ff5f332e32349f,         2,    python,   3.6.4
        buddharajuramaraju/Assignment9.1, 7c93d1aeb26fe3550becffa965a1e94e03665148,         1,    python,   3.6.3
     feidt/svm-chirp-classification-demo, cc4bfacd2dc1c9010b06c5934a2b346e603206c7,         1,    python,   3.4.3
                bicubic/public-notebooks, 090b622fa92ba27f00d51a50fbda5ab76f8a1162,         1,    python,  2.7.11
                    janboone/assignments, 17d46a5a6b4889a18e7b5df13d6d35c91f20ec14,         2,    python,   3.5.1
         shokirovnozir/jupypterWorkspace, 31d179efa9ede8981cd94ea1aaa2f40d4ffca328,         1,    python,   3.6.3
  juanengml/TarefinhaSenaiEletroMecanica, 869b9f34d77ab5f1605d377a173106c3585b5ef7,         1,    python,  2.7.13
           parameswaranvv/finding_donors, d59572ed9c0bf020cd06fe71042553a42c0400ee,         1,    python,  2.7.13
               haydnchapman/dataquest.io, c5f12ab53ff557a91cf70c86b9dced1d9e31052a,         1,    python,   3.6.1
              iAmeeth/Vibration-Analysis, 4372ab3aa1d4918870ed20adf33534708feb4105,         1,    python,  2.7.12
evanreierson/EDIN01-Project-2-Shift-Register-Sequences, 1718999f358bae36f631704867269137c298794d,         1,    python,   3.6.1
UCSC-Treehouse/RNA-Seq-version-concordance, 42d5a323303d96ae03ef376a5aae10db14203793,         1,    python,   3.5.1
                JustinMDeLuna/Naive-Baes, 363e4e8c25a0f292c917d6ecb80024822d30e7fa,         2,    python,   3.6.3
   rick9415/GradientDescent-for-a-neuron, cf94492381070edee940b05479b186ee0ec0aec7,         1,    python,   3.6.4
                  thomasviaud/clustering, 382c0092ad8ebcbcc993f5e8a1ee6c1175f918de,         1,    python,  2.7.12
                        manandoshi/ma540, 7392f8c6b89f1fe4cb0067277d812da3931ae9ce,         1,    python,   3.5.3
                             bjmain/ZIKV, 78ada0852b5729c6f916d6fc35090a02ce43abaa,         1,    python,   3.5.2
                 ryanrygg/misc_notebooks, 908bd12fa92e20f235a8cd9a142aaebf2f99c24f,         1,    python,   3.5.2
                  StatsGuy31415/Fractals, cb7428d7c2179576844d53ca9af5367440ae9bc5,         3,    python,   3.6.0
                         mriosrivas/test, d96518d48bf61c1fcc95d8efa84f023146a0293c,         1,    python,   3.5.2
